년도,교명,교장,학교,인원,학과,시설,기타 배경
1939,안성공립농업학교,4월 1일 초대 교장 우쓰노미야 취임 (1939.4.1 ~ 1945.10.14),3월 24일 안성공립농업학교 설립인가 / 4월 15일 개교,5년제 5학급 각 55명씩,1.교양과목(수신/공민/국어(일본어)/역사) 2.기초과목(수학/이과/외국어) 3.예능과목(체육/음악/회화) 4.전공과목(농업 일반),안성공립보통학교 교실 두개를 빌려 교실 및 사무실로 사용,3월 24일 박필병 선생의 기부금을 바탕으로 경기도 안성읍 석정동에 설립했다
1940,안성공립농업학교,null,null,총 학생 수 110명,null,4월 안성읍 석개근 부지에 교사를 신축하고 안성시 중앙로 167번지로 이전하였다,개교 당시 56만㎡(17만평)이었다는 설이 유력함. 해방 이후 교직원 봉급 줄 돈이 없어 학교 땅을 야금야금 팔았다는 이야기가 전해짐. 대학 본부 건물 앞 아름드리나무들이 '안농'의 유산으로 남아 있다. 1940년대부터 심은 나무들이다.
1941,안성공립농업학교,null,null,null,null,null,null
